,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
39,T1450,,,,,,,,,,,,,,,89.7,,,,,,,,,,,,62.62,,,,,,,,,,,,25.52,,,,,,,,,,,,32.24,,,,,,,,,,,,46.58,,,,,,,,,
40,T1452,,,,,,,,,,,,,,,,,,,,,,,,,,169.21,,,,,,,,,,,,120.33,,,,,,,,,,,,94.1,,,,,,,,,,,,94.56,,,,,,,,,,
41,T1711,,,673.53,,,,,,,,,,,,33.88,,,,,,,,,,,,384.11,,,,,,,,,,,,13.78,,,,,,,,,,,,1657.89,,,,,,,,,,,,105.71,,,,,,,,,
42,T1712,,47.92,,,,,,,,,,,,44.61,,,,,,,,,,,,68.32,,,,,,,,,,,,78.7,,,,,,,,,,,,71.15,,,,,,,,,,,,61.89,,,,,,,,,,
43,T1716,,,,,,24.21,,,,,,,,,,,,22.06,,,,,,,,,,,,22.19,,,,,,,,,,,,17.88,,,,,,,,,,,,16.73,,,,,,,,,,,,18.82,,,,,,
44,T1718,,,,,,,,,,,,106.84,,,,,,,,,,,,100.8,,,,,,,,,,,,80.78,,,,,,,,,,,,55.15,,,,,,,,,,,,54.53,,,,,,,,,,,,82.96
45,T1719,,,299.84,,,,,,,,,,,,222.51,,,,,,,,,,,,171.33,,,,,,,,,,,,162.73,,,,,,,,,,,,149.18,,,,,,,,,,,,132.99,,,,,,,,,
46,T1720,,,321.51,,,,,,,,,,,,225.14,,,,,,,,,,,,230.52,,,,,,,,,,,,193.25,,,,,,,,,,,,136.71,,,,,,,,,,,,128.97,,,,,,,,,
47,T1721,,,98.35,,,,,,,,,,,,29.67,,,,,,,,,,,,20.29,,,,,,,,,,,,18.45,,,,,,,,,,,,20.03,,,,,,,,,,,,29.09,,,,,,,,,
48,T1723,,,69.14,,,,,,,,,,,,53.04,,,,,,,,,,,,53.06,,,,,,,,,,,,57.48,,,,,,,,,,,,61.24,,,,,,,,,,,,40.82,,,,,,,,,
