,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算
サンヨーホームズ,T1420,,,211.76,,,,,,,,,,,,262.34,,,,,,,,,,,,217.98,,,,,,,,,,,,222.3,,,,,,,,,
日本アクア,T1429,,,,,,,,,,,,124.74,,,,,,,,,,,,109.75,,,,,,,,,,,,129.88,,,,,,,,,,,,175.78
ファーストコーポレーション,T1430,,,,,92.55,,,,,,,,,,,,195.06,,,,,,,,,,,,177.58,,,,,,,,,,,,157.1,,,,,,,
Ｌｉｂ　Ｗｏｒｋ,T1431,,,,,,77.15,,,,,,,,,,,,75.1,,,,,,,,,,,,78.34,,,,,,,,,,,,97.08,,,,,,
動力,T1432,,,204.41,,,,,,,,,,,,236.99,,,,,,,,,,,,240,,,,,,,,,,,,259.11,,,,,,,,,
ベステラ,T1433,73.42,,,,,,,,,,,,92.57,,,,,,,,,,,,130.57,,,,,,,,,,,,99.48,,,,,,,,,,,
ＪＥＳＣＯホールディングス,T1434,,,,,,,,58.39,,,,,,,,,,,,119.77,,,,,,,,,,,,157.35,,,,,,,,,,,,152.29,,,,
グリーンエナジー＆カンパニー,T1436,,,,69.2,,,,,,,,,,,,76.85,,,,,,,,,,,,80.86,,,,,,,,,,,,120.24,,,,,,,,
岐阜造園,T1438,,,,,,,,,38.69,,,,,,,,,,,,35.49,,,,,,,,,,,,35.72,,,,,,,,,,,,34.28,,,
技研ホールディングス,T1443,,,0.07,,,,,,,,,,,,0.21,,,,,,,,,,,,33.09,,,,,,,,,,,,45.76,,,,,,,,,
ニッソウ,T1444,,,,,,,36.07,,,,,,,,,,,,28.49,,,,,,,,,,,,24.28,,,,,,,,,,,,25.48,,,,,
ひかりホールディングス,T1445,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,
キャンディル,T1446,,,,,,,,,77.52,,,,,,,,,,,,118.54,,,,,,,,,,,,94.83,,,,,,,,,,,,115.16,,,
ＳＡＡＦホールディングス,T1447,,,6.16,,,,,,,,,,,,36.97,,,,,,,,,,,,51.04,,,,,,,,,,,,640.27,,,,,,,,,
ＦＵＪＩジャパン,T1449,,,,,,,,,,,,95.22,,,,,,,,,,,,68.17,,,,,,,,,,,,100.55,,,,,,,,,,,,145.05
エネルギーパワー,T144A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,4328.13
ＴＡＮＡＫＥＮ,T1450,,,25.52,,,,,,,,,,,,32.24,,,,,,,,,,,,46.58,,,,,,,,,,,,29.62,,,,,,,,,
横浜ライト工業,T1452,,120.33,,,,,,,,,,,,94.1,,,,,,,,,,,,94.56,,,,,,,,,,,,95.96,,,,,,,,,,
ＳＤＳホールディングス,T1711,,,13.78,,,,,,,,,,,,1657.89,,,,,,,,,,,,105.71,,,,,,,,,,,,16.74,,,,,,,,,
ダイセキ環境ソリューション,T1712,,78.7,,,,,,,,,,,,71.15,,,,,,,,,,,,61.89,,,,,,,,,,,,46.56,,,,,,,,,,
第一カッター興業,T1716,,,,,,17.88,,,,,,,,,,,,16.73,,,,,,,,,,,,18.82,,,,,,,,,,,,15.55,,,,,,
美樹工業,T1718,,,,,,,,,,,,55.15,,,,,,,,,,,,54.53,,,,,,,,,,,,82.96,,,,,,,,,,,,78.72
安藤・間,T1719,,,162.73,,,,,,,,,,,,149.18,,,,,,,,,,,,132.99,,,,,,,,,,,,110.45,,,,,,,,,
東急建設,T1720,,,193.25,,,,,,,,,,,,136.71,,,,,,,,,,,,128.97,,,,,,,,,,,,174.52,,,,,,,,,
コムシスホールディングス,T1721,,,18.45,,,,,,,,,,,,20.03,,,,,,,,,,,,29.09,,,,,,,,,,,,53.13,,,,,,,,,
日本電技,T1723,,,57.48,,,,,,,,,,,,61.24,,,,,,,,,,,,40.82,,,,,,,,,,,,33.03,,,,,,,,,
シンクレイヤ,T1724,,,,,,,,,,,,220.35,,,,,,,,,,,,194,,,,,,,,,,,,106.7,,,,,,,,,,,,115.9
ビーアールホールディングス,T1726,,,147.53,,,,,,,,,,,,243.58,,,,,,,,,,,,140.36,,,,,,,,,,,,133.65,,,,,,,,,
オーテック,T1736,,,72.68,,,,,,,,,,,,65.11,,,,,,,,,,,,53.08,,,,,,,,,,,,45.69,,,,,,,,,
ニットー,T1738,,,96.37,,,,,,,,,,,,86.94,,,,,,,,,,,,88.82,,,,,,,,,,,,85.5,,,,,,,,,
コーアツ工業,T1743,,,,,,,,,76.17,,,,,,,,,,,,68.72,,,,,,,,,,,,59,,,,,,,,,,,,55.79,,,
創建エース,T1757,,,64.34,,,,,,,,,,,,82.62,,,,,,,,,,,,13.98,,,,,,,,,,,,50.78,,,,,,,,,
