,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
54,1332,2018,16.3,56.5,5.2,42.4,266.52,0.0035026269702276708,6.907019297587834,3.0576661039098294,0.022401433691756272
55,1332,2019,17.0,58.9,6.8,42.4,280.18,0.0025906735751295338,6.920842031512772,3.0637085593914173,0.013134851138353765
56,1332,2020,22.7,64.1,7.4,42.5,223.59,0.0024937655860349127,6.904200414341743,3.0802656273398448,0.009499136442141624
57,1332,2021,19.3,62.2,6.2,42.6,217.1,0.0040551500405515,6.902795218174338,3.0909630765957314,0.011637572734829594
58,1928,2018,28.5,30.0,1.6,41.8,85.57,0.0019229399615412009,6.910875358848049,4.147398039347655,0.022302417899675207
59,1928,2019,25.9,34.4,1.8,42.2,82.29,0.0013119734843253694,6.913007753291135,4.160828543144547,0.017947439641051208
60,1928,2020,25.8,37.0,2.0,42.5,83.16,0.0021893814997263274,6.913211354205455,4.1648285343444815,0.016986604060212677
61,1928,2021,25.3,51.1,2.2,42.8,80.93,0.0033105871224917236,6.904276594155036,4.170291058625393,0.019567597153804052
62,4452,2018,20.7,71.7,14.0,41.2,68.36,0.00847810979847116,6.902220528279314,3.857030798272624,0.008034433285509325
63,4452,2019,19.5,72.8,15.5,41.0,69.08,0.008592471358428805,6.89231726072248,3.865222456290179,0.00542043085476025
64,4452,2020,18.7,78.8,16.8,40.8,60.7,0.0074461136512083605,6.914818980447473,3.88394519503428,0.00641025641025641
65,4452,2021,17.7,74.6,18.2,40.6,60.46,0.004174573055028463,6.914554698517634,3.8979018742682277,0.0074461136512083605
66,2204,2018,15.9,25.7,11.3,40.1,69.45,0.007594936708860759,6.747334109615905,2.8976270912904414,0.024173027989821884
67,2204,2019,10.0,24.6,11.5,41.0,66.1,0.02197802197802198,6.755112266395071,2.9132839017604186,0.021518987341772152
68,2204,2020,15.5,24.4,11.9,40.8,62.8,0.026415094339622643,6.7419390777291985,2.9003671286564705,0.03540903540903541
69,2204,2021,16.0,37.1,12.2,42.2,61.56,0.01675257731958763,6.7419390777291985,2.8898617212581885,0.04779874213836478
70,1961,2020,32.0,55.6,0.6,43.0,92.04,0.004067107269954245,6.90755119398358,3.2938043599193367,0.016251904520060943
71,1961,2021,31.3,56.6,0.6,43.2,101.2,0.0035140562248995983,6.960796780334972,3.29928933408768,0.031011692933401117
72,5938,2018,21.2,49.8,6.9,42.9,40.32,0.006903233619958823,6.8375015075152525,4.217852280259893,0.01641230620155039
73,5938,2019,21.8,55.9,6.1,43.6,23.44,0.006973668390044487,6.843819644741589,4.220996697147369,0.014775342133946955
74,5938,2020,23.6,56.1,5.7,44.2,171.35,0.0072854350530119055,6.851025847194633,4.227449620469842,0.014187808103883611
75,5406,2018,16.5,74.5,1.4,39.5,195.74,0.0038970454957404387,6.806860942872965,4.0427329796217215,0.01181574817686698
76,5406,2019,18.4,77.5,1.9,39.2,237.78,0.003127513180234117,6.791439892606017,4.048868895739931,0.013594344752582926
77,2533,2018,7.8,77.5,4.1,42.3,109.61,0.003616636528028933,6.736349404669964,2.7427251313046983,0.012727272727272728
