,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
273,4925.0,2.0,3.0,3.0,271905.0,2.5,79.5,2.0,7.7,1.0
274,7988.0,4.0,3.0,4.0,261421.0,24.6,67.1,1.0,15.0,0.13725490196078433
276,4043.0,5.0,5.0,4.0,344067.0,10.3,75.2,1.0,17.9,0.07142857142857142
277,4061.0,5.0,4.0,5.0,301209.0,11.1,69.2,1.0,16.5,0.1262135922330097
278,4980.0,4.0,5.0,4.0,283214.0,23.3,60.0,1.0,17.0,0.175
279,4215.0,4.0,4.0,4.0,263850.0,5.9,88.2,1.0,18.0,0.05555555555555555
281,4202.0,5.0,5.0,5.0,294600.0,19.3,72.1,1.0,16.5,0.041666666666666664
286,4633.0,4.0,4.0,3.0,295800.0,11.8,51.9,1.0,18.3,0.19047619047619047
288,4922.0,4.0,4.0,5.0,378456.0,13.9,57.2,1.0,16.8,0.0821917808219178
293,4118.0,5.0,5.0,5.0,286947.0,14.8,66.6,1.0,17.5,0.1984732824427481
295,7947.0,5.0,5.0,4.0,354186.0,7.9,49.3,1.0,13.6,0.046511627906976744
297,4088.0,4.0,4.0,3.0,348812.0,14.2,57.0,1.0,13.1,0.07142857142857142
299,4929.0,3.0,3.0,2.0,290000.0,12.1,54.0,1.0,7.6,0.5
302,4206.0,4.0,5.0,5.0,272294.0,7.0,55.9,1.0,16.1,0.18518518518518517
303,4985.0,5.0,5.0,5.0,269825.0,10.0,70.4,1.0,14.8,0.07692307692307693
304,7908.0,3.0,3.0,4.0,237000.0,12.2,84.0,1.0,21.6,0.5
305,4189.0,4.0,4.0,4.0,315833.0,18.8,78.8,1.0,15.9,0.05
306,4185.0,5.0,5.0,5.0,346100.0,12.3,80.6,1.0,13.8,0.06896551724137931
308,4975.0,4.0,4.0,3.0,333000.0,7.6,80.2,1.0,14.5,0.2857142857142857
310,4631.0,4.0,4.0,4.0,315666.0,9.6,63.1,1.0,19.0,0.06349206349206349
311,4401.0,4.0,4.0,4.0,293820.0,12.8,69.7,1.0,15.6,0.08791208791208792
313,4554.0,3.0,3.0,3.0,274131.0,7.5,64.9,1.0,11.7,0.11764705882352941
315,4539.0,3.0,3.0,3.0,308727.0,2.9,43.1,1.0,13.7,0.2962962962962963
319,4519.0,5.0,5.0,5.0,306087.0,18.2,59.4,1.0,16.9,0.034482758620689655
320,4568.0,5.0,5.0,5.0,355617.0,10.1,77.1,1.0,19.6,0.03787878787878788
322,4578.0,4.0,4.0,4.0,295122.0,6.0,64.2,1.0,17.3,0.060109289617486336
325,4528.0,5.0,5.0,5.0,313920.0,16.6,56.2,1.0,16.3,0.03488372093023256
327,4534.0,4.0,4.0,4.0,315012.0,8.5,58.3,1.0,17.0,0.08333333333333333
329,4151.0,5.0,5.0,5.0,315078.0,14.2,70.0,1.0,17.4,0.03636363636363636
330,4530.0,4.0,3.0,4.0,351198.0,6.8,60.7,1.0,14.1,0.11940298507462686
332,4507.0,4.0,4.0,5.0,314126.0,8.5,58.3,1.0,15.7,0.06
334,4527.0,3.0,4.0,5.0,378305.0,13.6,67.4,1.0,13.2,0.047619047619047616
335,4587.0,4.0,4.0,3.0,285714.0,6.3,67.7,1.0,3.5,0.0
338,4577.0,3.0,3.0,3.0,241506.0,15.6,63.8,2.0,11.0,0.0
343,4523.0,4.0,5.0,5.0,415300.0,12.5,59.3,1.0,18.9,0.1864406779661017
344,4503.0,4.0,3.0,5.0,324000.0,9.9,70.5,1.0,17.4,0.16521739130434782
345,4886.0,3.0,4.0,4.0,346892.0,2.3,68.4,1.0,20.0,0.0
348,5019.0,4.0,5.0,5.0,361585.0,20.0,69.5,1.0,18.5,0.056
350,5021.0,4.0,4.0,5.0,299059.0,23.4,81.3,1.0,16.8,0.04838709677419355
353,5121.0,3.0,4.0,4.0,304477.0,5.3,60.5,1.0,13.0,0.0
354,5162.0,3.0,3.0,3.0,261166.0,7.9,49.2,1.0,14.8,0.0
356,5110.0,5.0,5.0,5.0,337807.0,15.4,69.9,1.0,15.9,0.17142857142857143
357,5192.0,4.0,3.0,4.0,293400.0,4.2,59.2,1.0,17.7,0.06060606060606061
358,5101.0,5.0,5.0,5.0,282683.0,20.4,57.0,1.0,16.7,0.125
359,5108.0,5.0,5.0,5.0,309590.0,12.1,74.0,1.0,14.3,0.13612565445026178
360,5195.0,4.0,4.0,4.0,283614.0,13.9,58.1,1.0,15.9,0.0
364,5105.0,5.0,4.0,5.0,270553.0,20.0,57.8,1.0,14.3,0.2127659574468085
367,5202.0,4.0,5.0,4.0,295198.0,9.5,74.1,1.0,21.3,0.2916666666666667
368,5334.0,4.0,5.0,5.0,303123.0,8.0,78.4,1.0,17.7,0.06993006993006994
369,5214.0,4.0,4.0,4.0,286406.0,17.2,67.9,1.0,23.7,0.10810810810810811
370,5210.0,4.0,3.0,3.0,317283.0,5.3,51.3,1.0,20.9,0.2692307692307692
371,5269.0,3.0,3.0,3.0,313000.0,26.7,56.1,1.0,10.8,0.16666666666666666
372,5333.0,5.0,5.0,5.0,322838.0,21.6,67.5,1.0,14.3,0.038461538461538464
374,5233.0,5.0,4.0,4.0,319740.0,17.5,74.5,1.0,18.5,0.07608695652173914
376,5232.0,4.0,4.0,3.0,284194.0,9.7,76.3,1.0,18.3,0.09090909090909091
379,7943.0,3.0,2.0,2.0,307280.0,13.0,52.9,1.0,17.3,0.05555555555555555
380,5393.0,4.0,4.0,3.0,291035.0,12.4,63.9,1.0,14.6,0.05
381,5332.0,5.0,5.0,5.0,327779.0,9.0,89.1,1.0,16.7,0.07801418439716312
382,5201.0,4.0,4.0,5.0,330163.0,15.9,85.9,1.0,17.9,0.07926829268292683
384,5486.0,4.0,4.0,4.0,305100.0,18.6,67.5,3.0,20.1,0.15979381443298968
388,5491.0,3.0,3.0,3.0,386949.0,8.7,43.2,2.0,17.2,0.17647058823529413
392,5471.0,4.0,3.0,4.0,288596.0,11.1,42.3,2.0,16.4,0.05555555555555555
395,5632.0,3.0,4.0,3.0,287463.0,5.2,43.5,2.0,20.1,0.7924528301886793
397,5440.0,3.0,3.0,3.0,301400.0,16.7,64.6,2.0,15.9,0.21052631578947367
398,5482.0,5.0,5.0,5.0,291525.0,20.8,59.5,3.0,18.0,0.11428571428571428
401,5699.0,3.0,3.0,2.0,254380.0,13.0,54.3,2.0,6.1,1.0
404,5727.0,3.0,3.0,3.0,265894.0,14.0,78.8,1.0,14.6,0.06666666666666667
407,5805.0,5.0,4.0,4.0,266273.0,19.0,63.2,1.0,19.0,0.15789473684210525
408,5802.0,4.0,3.0,4.0,356030.0,13.6,79.0,1.0,19.7,0.07598784194528875
409,5713.0,4.0,4.0,4.0,345179.0,16.2,84.9,1.0,19.5,0.10909090909090909
410,5711.0,4.0,4.0,4.0,323000.0,14.2,79.5,1.0,17.6,0.15873015873015872
411,5706.0,5.0,5.0,5.0,318675.0,14.7,70.5,1.0,14.2,0.08928571428571429
412,5801.0,5.0,5.0,5.0,367141.0,21.2,54.9,1.0,18.8,0.04666666666666667
413,5715.0,4.0,4.0,4.0,289147.0,15.2,56.8,1.0,19.1,0.1111111111111111
414,5851.0,4.0,4.0,4.0,271476.0,12.7,51.0,2.0,18.5,0.17647058823529413
415,5803.0,5.0,5.0,5.0,277361.0,16.5,47.0,1.0,16.0,0.10752688172043011
417,5742.0,3.0,3.0,3.0,218000.0,10.0,70.3,1.0,9.1,0.125
418,5741.0,4.0,5.0,4.0,266549.0,25.1,55.0,3.0,16.5,0.20754716981132076
420,5930.0,4.0,4.0,4.0,269805.0,25.0,61.9,1.0,17.2,0.16666666666666666
422,5901.0,4.0,5.0,4.0,280769.0,29.8,55.4,1.0,18.3,0.2765957446808511
428,5929.0,4.0,5.0,4.0,242068.0,36.5,43.1,1.0,16.0,0.15
432,5947.0,5.0,4.0,4.0,296680.0,14.7,63.0,1.0,16.8,0.1450381679389313
437,5991.0,5.0,4.0,4.0,376784.0,17.9,77.7,1.0,17.5,0.10362694300518134
438,5956.0,3.0,3.0,3.0,335933.0,14.8,68.9,1.0,13.2,0.07142857142857142
442,5909.0,3.0,3.0,3.0,283215.0,12.8,66.8,1.0,19.1,0.09433962264150944
444,5979.0,3.0,3.0,3.0,335000.0,8.0,72.7,1.0,18.0,0.0
446,5989.0,4.0,4.0,4.0,239000.0,8.3,93.7,1.0,20.3,0.20833333333333334
447,3434.0,3.0,3.0,3.0,255988.0,11.9,48.1,1.0,20.0,0.25
452,3436.0,4.0,4.0,4.0,291141.0,14.6,84.7,1.0,17.1,0.0847457627118644
454,5938.0,5.0,5.0,5.0,267419.0,16.5,49.1,1.0,21.3,0.14730878186968838
458,6317.0,3.0,3.0,3.0,252500.0,18.0,59.4,2.0,15.2,0.1276595744680851
466,6305.0,5.0,4.0,4.0,307100.0,23.0,68.1,1.0,15.5,0.11764705882352941
468,6471.0,5.0,5.0,5.0,356540.0,6.9,85.2,1.0,15.8,0.1044776119402985
470,6461.0,4.0,3.0,4.0,249200.0,5.4,54.7,1.0,16.9,0.15384615384615385
473,6247.0,3.0,3.0,3.0,254757.0,7.5,67.2,1.0,14.8,0.1875
475,6360.0,3.0,3.0,3.0,251870.0,21.4,68.0,1.0,19.6,0.14285714285714285
480,6121.0,4.0,4.0,4.0,252200.0,14.2,72.5,1.0,12.9,0.0
481,6470.0,3.0,3.0,4.0,314937.0,18.6,61.9,3.0,13.7,0.08333333333333333
482,6373.0,3.0,3.0,4.0,248778.0,12.0,55.6,1.0,13.9,0.02702702702702703
489,6339.0,3.0,4.0,4.0,256905.0,18.1,60.8,3.0,16.3,0.0967741935483871
492,6302.0,5.0,4.0,5.0,320000.0,19.5,73.6,1.0,15.1,0.10067114093959731
495,6005.0,3.0,4.0,3.0,343500.0,21.3,72.0,3.0,14.7,0.15126050420168066
498,6370.0,4.0,4.0,5.0,331117.0,22.7,53.0,1.0,17.5,0.04878048780487805
500,6361.0,5.0,5.0,4.0,296145.0,21.5,70.7,1.0,16.8,0.06956521739130435
503,6462.0,4.0,3.0,3.0,290733.0,5.6,73.2,1.0,17.3,0.08333333333333333
505,6250.0,3.0,3.0,4.0,293822.0,11.9,61.5,1.0,18.2,0.058823529411764705
509,6586.0,4.0,3.0,3.0,338400.0,22.3,57.8,2.0,17.1,0.10655737704918032
511,6312.0,2.0,3.0,3.0,261640.0,11.9,61.0,2.0,11.4,0.5
512,6238.0,3.0,4.0,3.0,298479.0,16.7,77.3,1.0,7.7,0.18518518518518517
