,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
1234,9946.0,3.0,3.0,3.0,276643.0,13.8,36.0,1.0,15.3,0.5348837209302325
1256,7506.0,2.0,2.0,3.0,255500.0,1.5,59.2,1.0,8.1,1.0
1257,2674.0,3.0,2.0,3.0,324164.0,11.2,42.7,1.0,9.5,0.4166666666666667
1258,7561.0,3.0,3.0,3.0,382500.0,15.0,48.2,1.0,9.4,0.5454545454545454
1262,3397.0,4.0,4.0,4.0,372357.0,27.3,44.2,1.0,4.6,0.6898395721925134
1265,3382.0,5.0,5.0,5.0,324588.0,16.8,57.4,1.0,17.1,0.2228637413394919
1268,3197.0,3.0,4.0,3.0,265300.0,17.0,77.4,1.0,15.7,0.375609756097561
1273,8227.0,3.0,4.0,3.0,342637.0,0.1,65.4,1.0,15.2,0.3291139240506329
1293,2730.0,3.0,4.0,3.0,241990.0,15.4,36.8,1.0,17.0,0.3025936599423631
1295,3136.0,3.0,3.0,2.0,280000.0,10.0,45.8,1.0,9.5,0.16666666666666666
1298,8242.0,4.0,4.0,4.0,276172.0,6.6,46.3,1.0,17.0,0.14035087719298245
1299,3141.0,3.0,3.0,3.0,256435.0,6.2,58.4,1.0,3.9,0.18545454545454546
1301,8182.0,3.0,3.0,3.0,296027.0,15.6,48.0,1.0,20.6,0.3333333333333333
1302,8273.0,3.0,3.0,3.0,326664.0,17.2,61.8,1.0,15.1,0.21910112359550563
1304,8267.0,5.0,5.0,5.0,296039.0,5.5,64.6,1.0,19.1,0.27835051546391754
1307,2685.0,3.0,4.0,4.0,274714.0,6.2,65.0,1.0,5.7,0.3177570093457944
1308,2678.0,4.0,4.0,4.0,375506.0,27.4,69.3,1.0,9.1,0.3125
1310,8255.0,4.0,3.0,3.0,311109.0,16.3,77.2,2.0,8.3,0.23376623376623376
1311,9627.0,3.0,4.0,4.0,329724.0,3.9,53.0,1.0,6.7,0.2702702702702703
1313,3092.0,3.0,4.0,4.0,374571.0,10.0,105.8,1.0,5.5,0.16666666666666666
1316,8163.0,3.0,3.0,3.0,278333.0,15.9,46.1,1.0,16.7,0.2857142857142857
1321,3086.0,5.0,5.0,5.0,307813.0,3.0,51.7,1.0,22.9,0.15555555555555556
1334,8554.0,3.0,3.0,3.0,265259.0,11.2,57.1,1.0,15.7,0.2
1341,8392.0,2.0,3.0,3.0,262506.0,12.1,62.7,1.0,15.3,0.2413793103448276
1351,8341.0,3.0,3.0,3.0,339800.0,15.4,73.0,1.0,15.7,0.1986754966887417
1352,8366.0,4.0,4.0,3.0,285685.0,9.1,53.8,1.0,14.7,0.3474576271186441
1354,8381.0,3.0,3.0,3.0,275878.0,13.0,68.8,1.0,17.6,0.18478260869565216
1355,8306.0,5.0,5.0,5.0,394726.0,19.4,73.9,1.0,14.7,0.11666666666666667
1356,8316.0,5.0,5.0,5.0,385298.0,23.0,81.2,1.0,14.5,0.12577833125778332
1362,8370.0,3.0,3.0,3.0,303900.0,6.2,43.6,1.0,15.0,0.26666666666666666
1365,8385.0,3.0,3.0,3.0,324256.0,11.7,69.6,1.0,15.6,0.1945945945945946
1369,8350.0,3.0,3.0,3.0,235753.0,11.3,77.3,1.0,16.4,0.16981132075471697
1370,8411.0,5.0,5.0,5.0,399713.0,21.1,70.3,1.0,15.3,0.14807162534435261
1374,8304.0,3.0,5.0,4.0,408500.0,21.2,72.1,1.0,14.9,0.12903225806451613
1375,8604.0,5.0,4.0,5.0,435633.0,14.5,65.0,1.0,16.0,0.22152886115444617
1377,8601.0,5.0,5.0,5.0,396704.0,21.2,71.7,1.0,14.4,0.3080168776371308
1380,8706.0,2.0,3.0,3.0,268000.0,25.0,40.4,1.0,16.0,0.4444444444444444
1387,8624.0,3.0,3.0,3.0,248679.0,17.8,48.9,1.0,14.3,0.3793103448275862
1388,8708.0,2.0,2.0,3.0,287084.0,8.9,37.9,1.0,13.8,0.3225806451612903
1389,8473.0,3.0,3.0,3.0,458215.0,16.2,60.9,1.0,6.1,0.4
1393,8766.0,5.0,5.0,5.0,375796.0,10.8,72.9,1.0,15.4,0.10069444444444445
1395,8750.0,5.0,5.0,5.0,487078.0,4.5,64.0,1.0,12.0,0.060411311053984576
1402,8795.0,4.0,5.0,5.0,425000.0,4.5,80.3,1.0,18.8,0.17346938775510204
1403,8630.0,5.0,5.0,5.0,465960.0,7.7,80.4,1.0,14.3,0.13582089552238805
1404,8725.0,5.0,5.0,5.0,367120.0,15.5,68.1,1.0,13.4,0.15818759936406995
1405,8424.0,4.0,5.0,4.0,316779.0,11.6,72.0,1.0,14.5,0.05714285714285714
1407,8439.0,4.0,5.0,4.0,335770.0,10.2,72.7,1.0,17.1,0.041666666666666664
1412,8566.0,5.0,4.0,5.0,281030.0,10.4,67.8,1.0,13.6,0.125
1413,7199.0,3.0,3.0,3.0,313071.0,20.2,66.8,1.0,6.2,0.3181818181818182
1414,7187.0,2.0,2.0,3.0,388750.0,24.6,63.4,1.0,6.0,0.2857142857142857
1415,8253.0,3.0,4.0,4.0,298694.0,9.3,72.4,1.0,13.6,0.1807909604519774
1416,8591.0,3.0,4.0,4.0,402048.0,23.5,71.4,1.0,17.3,0.04411764705882353
1417,8585.0,4.0,4.0,5.0,284990.0,15.3,61.2,1.0,16.2,0.27601809954751133
1418,7191.0,2.0,2.0,2.0,303992.0,17.0,67.8,1.0,4.7,0.5
1419,8570.0,3.0,4.0,4.0,273500.0,20.5,71.4,1.0,2.3,0.21904761904761905
1421,8572.0,3.0,5.0,4.0,288572.0,19.0,72.4,1.0,14.8,0.26548672566371684
1422,8793.0,4.0,4.0,4.0,286525.0,22.0,61.2,1.0,13.2,0.0625
1423,8931.0,3.0,3.0,3.0,298114.0,11.6,61.3,1.0,10.7,0.0
1424,3231.0,4.0,5.0,4.0,396685.0,12.1,60.5,1.0,15.4,0.0625
1428,8892.0,3.0,3.0,3.0,414220.0,34.3,53.9,1.0,4.3,0.36363636363636365
1437,8848.0,4.0,4.0,5.0,248312.0,11.4,90.5,1.0,10.5,0.4205298013245033
1446,8923.0,3.0,4.0,3.0,282250.0,26.7,55.3,1.0,5.8,0.16666666666666666
1450,3277.0,2.0,2.0,2.0,327857.0,9.7,73.8,1.0,7.9,0.5714285714285714
1459,8905.0,5.0,4.0,4.0,316904.0,10.2,55.8,1.0,7.6,0.14545454545454545
1467,3491.0,3.0,3.0,3.0,549707.0,24.0,27.8,1.0,1.6,0.6
1476,2433.0,5.0,4.0,4.0,463900.0,22.7,31.0,1.0,12.3,0.07407407407407407
1481,1954.0,3.0,3.0,3.0,259918.0,37.1,54.3,1.0,14.2,0.13157894736842105
1490,4324.0,4.0,4.0,5.0,403000.0,12.5,47.0,1.0,14.2,0.06206896551724138
1492,9708.0,3.0,3.0,3.0,298300.0,1.8,37.4,1.0,14.0,0.24074074074074073
1493,9743.0,3.0,4.0,4.0,281985.0,22.3,52.6,1.0,15.3,0.024390243902439025
1495,9757.0,3.0,4.0,3.0,269250.0,6.0,56.1,1.0,9.4,0.0
1498,2179.0,3.0,3.0,2.0,231203.0,12.9,61.2,1.0,6.0,0.5454545454545454
1512,4708.0,3.0,3.0,3.0,235427.0,8.2,84.4,1.0,8.2,0.1875
1514,4681.0,3.0,3.0,4.0,294672.0,10.4,45.1,1.0,8.7,0.43162393162393164
1516,7065.0,3.0,3.0,3.0,327310.0,18.0,58.0,1.0,8.6,0.0
1523,6183.0,3.0,5.0,5.0,268521.0,28.3,65.5,1.0,12.4,0.06896551724137931
1524,9783.0,5.0,5.0,5.0,303080.0,26.5,50.1,1.0,13.6,0.12987012987012986
1529,2424.0,3.0,2.0,2.0,332187.0,10.8,12.7,1.0,4.7,0.16326530612244897
1532,2469.0,3.0,3.0,3.0,268388.0,7.3,34.1,1.0,14.5,0.18181818181818182
1535,2168.0,3.0,5.0,4.0,327000.0,16.1,62.1,1.0,9.1,0.23626373626373626
1545,9715.0,3.0,3.0,4.0,295260.0,17.6,55.9,1.0,8.8,0.3293233082706767
1549,2379.0,3.0,3.0,3.0,357094.0,23.1,44.9,1.0,4.0,0.36486486486486486
1552,7045.0,2.0,3.0,3.0,230233.0,17.2,45.4,1.0,6.0,0.0
1554,4665.0,5.0,5.0,4.0,243514.0,5.3,69.4,1.0,15.4,0.125
1556,9793.0,4.0,3.0,3.0,312051.0,43.8,67.0,1.0,11.3,0.3333333333333333
1561,9625.0,3.0,3.0,3.0,395000.0,4.0,30.3,1.0,15.5,0.0
1562,4293.0,3.0,4.0,3.0,443050.0,18.0,60.7,1.0,4.8,0.2631578947368421
1566,6196.0,3.0,2.0,2.0,426671.0,5.8,52.9,2.0,2.6,0.2
1576,7081.0,3.0,3.0,3.0,270610.0,21.4,48.0,1.0,13.3,0.5185185185185185
1581,6547.0,3.0,4.0,3.0,284597.0,9.1,58.7,1.0,7.0,0.5806451612903226
1586,2371.0,3.0,4.0,4.0,359558.0,23.2,63.0,1.0,5.2,0.1111111111111111
1589,9765.0,3.0,4.0,4.0,246543.0,29.2,63.2,1.0,15.3,0.11764705882352941
1594,2471.0,3.0,3.0,3.0,338550.0,9.4,56.9,1.0,3.4,0.5
1601,7087.0,3.0,3.0,3.0,283169.0,18.4,69.1,1.0,4.3,0.7647058823529411
1604,6200.0,2.0,2.0,2.0,290744.0,24.8,90.7,1.0,3.2,0.3870967741935484
1606,9619.0,3.0,2.0,2.0,332976.0,15.3,65.7,1.0,11.6,0.23809523809523808
1608,9787.0,4.0,5.0,5.0,305025.0,9.5,67.3,1.0,11.8,0.1896551724137931
1616,2427.0,3.0,3.0,3.0,278467.0,14.2,74.4,1.0,3.2,0.5736434108527132
1617,2198.0,2.0,3.0,3.0,329476.0,11.0,52.8,2.0,5.5,0.3983739837398374
1620,6071.0,3.0,3.0,3.0,320634.0,10.0,74.1,1.0,4.0,0.4090909090909091
1621,4544.0,4.0,5.0,5.0,250344.0,17.1,48.2,1.0,12.8,0.2777777777777778
1627,2331.0,4.0,4.0,5.0,265704.0,36.0,53.1,1.0,17.4,0.4047058823529412
1628,7083.0,2.0,3.0,2.0,268390.0,3.0,46.9,1.0,3.0,0.0
