,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
303,4985.0,5.0,5.0,5.0,269825.0,10.0,70.4,1.0,14.8,39.0,36.0
304,7908.0,3.0,3.0,4.0,237000.0,12.2,84.0,1.0,21.6,10.0,5.0
305,4189.0,4.0,4.0,4.0,315833.0,18.8,78.8,1.0,15.9,20.0,19.0
306,4185.0,5.0,5.0,5.0,346100.0,12.3,80.6,1.0,13.8,87.0,81.0
308,4975.0,4.0,4.0,3.0,333000.0,7.6,80.2,1.0,14.5,7.0,5.0
310,4631.0,4.0,4.0,4.0,315666.0,9.6,63.1,1.0,19.0,63.0,59.0
311,4401.0,4.0,4.0,4.0,293820.0,12.8,69.7,1.0,15.6,91.0,83.0
313,4554.0,3.0,3.0,3.0,274131.0,7.5,64.9,1.0,11.7,17.0,15.0
315,4539.0,3.0,3.0,3.0,308727.0,2.9,43.1,1.0,13.7,27.0,19.0
319,4519.0,5.0,5.0,5.0,306087.0,18.2,59.4,1.0,16.9,116.0,112.0
320,4568.0,5.0,5.0,5.0,355617.0,10.1,77.1,1.0,19.6,132.0,127.0
322,4578.0,4.0,4.0,4.0,295122.0,6.0,64.2,1.0,17.3,183.0,172.0
325,4528.0,5.0,5.0,5.0,313920.0,16.6,56.2,1.0,16.3,86.0,83.0
327,4534.0,4.0,4.0,4.0,315012.0,8.5,58.3,1.0,17.0,36.0,33.0
329,4151.0,5.0,5.0,5.0,315078.0,14.2,70.0,1.0,17.4,55.0,53.0
330,4530.0,4.0,3.0,4.0,351198.0,6.8,60.7,1.0,14.1,67.0,59.0
332,4507.0,4.0,4.0,5.0,314126.0,8.5,58.3,1.0,15.7,100.0,94.0
334,4527.0,3.0,4.0,5.0,378305.0,13.6,67.4,1.0,13.2,21.0,20.0
335,4587.0,4.0,4.0,3.0,285714.0,6.3,67.7,1.0,3.5,1.0,1.0
338,4577.0,3.0,3.0,3.0,241506.0,15.6,63.8,2.0,11.0,8.0,8.0
343,4523.0,4.0,5.0,5.0,415300.0,12.5,59.3,1.0,18.9,59.0,48.0
344,4503.0,4.0,3.0,5.0,324000.0,9.9,70.5,1.0,17.4,115.0,96.0
345,4886.0,3.0,4.0,4.0,346892.0,2.3,68.4,1.0,20.0,25.0,25.0
348,5019.0,4.0,5.0,5.0,361585.0,20.0,69.5,1.0,18.5,125.0,118.0
350,5021.0,4.0,4.0,5.0,299059.0,23.4,81.3,1.0,16.8,62.0,59.0
353,5121.0,3.0,4.0,4.0,304477.0,5.3,60.5,1.0,13.0,14.0,14.0
354,5162.0,3.0,3.0,3.0,261166.0,7.9,49.2,1.0,14.8,7.0,7.0
356,5110.0,5.0,5.0,5.0,337807.0,15.4,69.9,1.0,15.9,175.0,145.0
357,5192.0,4.0,3.0,4.0,293400.0,4.2,59.2,1.0,17.7,33.0,31.0
358,5101.0,5.0,5.0,5.0,282683.0,20.4,57.0,1.0,16.7,88.0,77.0
359,5108.0,5.0,5.0,5.0,309590.0,12.1,74.0,1.0,14.3,191.0,165.0
360,5195.0,4.0,4.0,4.0,283614.0,13.9,58.1,1.0,15.9,19.0,19.0
364,5105.0,5.0,4.0,5.0,270553.0,20.0,57.8,1.0,14.3,94.0,74.0
367,5202.0,4.0,5.0,4.0,295198.0,9.5,74.1,1.0,21.3,24.0,17.0
368,5334.0,4.0,5.0,5.0,303123.0,8.0,78.4,1.0,17.7,143.0,133.0
369,5214.0,4.0,4.0,4.0,286406.0,17.2,67.9,1.0,23.7,37.0,33.0
370,5210.0,4.0,3.0,3.0,317283.0,5.3,51.3,1.0,20.9,26.0,19.0
371,5269.0,3.0,3.0,3.0,313000.0,26.7,56.1,1.0,10.8,12.0,10.0
372,5333.0,5.0,5.0,5.0,322838.0,21.6,67.5,1.0,14.3,104.0,100.0
374,5233.0,5.0,4.0,4.0,319740.0,17.5,74.5,1.0,18.5,92.0,85.0
376,5232.0,4.0,4.0,3.0,284194.0,9.7,76.3,1.0,18.3,33.0,30.0
379,7943.0,3.0,2.0,2.0,307280.0,13.0,52.9,1.0,17.3,18.0,17.0
380,5393.0,4.0,4.0,3.0,291035.0,12.4,63.9,1.0,14.6,80.0,76.0
381,5332.0,5.0,5.0,5.0,327779.0,9.0,89.1,1.0,16.7,141.0,130.0
382,5201.0,4.0,4.0,5.0,330163.0,15.9,85.9,1.0,17.9,164.0,151.0
384,5486.0,4.0,4.0,4.0,305100.0,18.6,67.5,3.0,20.1,194.0,163.0
388,5491.0,3.0,3.0,3.0,386949.0,8.7,43.2,2.0,17.2,34.0,28.0
392,5471.0,4.0,3.0,4.0,288596.0,11.1,42.3,2.0,16.4,144.0,136.0
395,5632.0,3.0,4.0,3.0,287463.0,5.2,43.5,2.0,20.1,53.0,11.0
397,5440.0,3.0,3.0,3.0,301400.0,16.7,64.6,2.0,15.9,19.0,15.0
398,5482.0,5.0,5.0,5.0,291525.0,20.8,59.5,3.0,18.0,105.0,93.0
401,5699.0,3.0,3.0,2.0,254380.0,13.0,54.3,2.0,6.1,1.0,0.0
404,5727.0,3.0,3.0,3.0,265894.0,14.0,78.8,1.0,14.6,15.0,14.0
407,5805.0,5.0,4.0,4.0,266273.0,19.0,63.2,1.0,19.0,19.0,16.0
408,5802.0,4.0,3.0,4.0,356030.0,13.6,79.0,1.0,19.7,329.0,304.0
409,5713.0,4.0,4.0,4.0,345179.0,16.2,84.9,1.0,19.5,55.0,49.0
410,5711.0,4.0,4.0,4.0,323000.0,14.2,79.5,1.0,17.6,189.0,159.0
411,5706.0,5.0,5.0,5.0,318675.0,14.7,70.5,1.0,14.2,56.0,51.0
412,5801.0,5.0,5.0,5.0,367141.0,21.2,54.9,1.0,18.8,150.0,143.0
413,5715.0,4.0,4.0,4.0,289147.0,15.2,56.8,1.0,19.1,9.0,8.0
414,5851.0,4.0,4.0,4.0,271476.0,12.7,51.0,2.0,18.5,34.0,28.0
415,5803.0,5.0,5.0,5.0,277361.0,16.5,47.0,1.0,16.0,93.0,83.0
417,5742.0,3.0,3.0,3.0,218000.0,10.0,70.3,1.0,9.1,8.0,7.0
418,5741.0,4.0,5.0,4.0,266549.0,25.1,55.0,3.0,16.5,106.0,84.0
420,5930.0,4.0,4.0,4.0,269805.0,25.0,61.9,1.0,17.2,36.0,30.0
422,5901.0,4.0,5.0,4.0,280769.0,29.8,55.4,1.0,18.3,94.0,68.0
428,5929.0,4.0,5.0,4.0,242068.0,36.5,43.1,1.0,16.0,100.0,85.0
432,5947.0,5.0,4.0,4.0,296680.0,14.7,63.0,1.0,16.8,131.0,112.0
437,5991.0,5.0,4.0,4.0,376784.0,17.9,77.7,1.0,17.5,193.0,173.0
438,5956.0,3.0,3.0,3.0,335933.0,14.8,68.9,1.0,13.2,14.0,13.0
442,5909.0,3.0,3.0,3.0,283215.0,12.8,66.8,1.0,19.1,53.0,48.0
444,5979.0,3.0,3.0,3.0,335000.0,8.0,72.7,1.0,18.0,6.0,6.0
446,5989.0,4.0,4.0,4.0,239000.0,8.3,93.7,1.0,20.3,24.0,19.0
447,3434.0,3.0,3.0,3.0,255988.0,11.9,48.1,1.0,20.0,8.0,6.0
452,3436.0,4.0,4.0,4.0,291141.0,14.6,84.7,1.0,17.1,118.0,108.0
454,5938.0,5.0,5.0,5.0,267419.0,16.5,49.1,1.0,21.3,353.0,301.0
458,6317.0,3.0,3.0,3.0,252500.0,18.0,59.4,2.0,15.2,47.0,41.0
466,6305.0,5.0,4.0,4.0,307100.0,23.0,68.1,1.0,15.5,68.0,60.0
468,6471.0,5.0,5.0,5.0,356540.0,6.9,85.2,1.0,15.8,201.0,180.0
470,6461.0,4.0,3.0,4.0,249200.0,5.4,54.7,1.0,16.9,26.0,22.0
473,6247.0,3.0,3.0,3.0,254757.0,7.5,67.2,1.0,14.8,16.0,13.0
475,6360.0,3.0,3.0,3.0,251870.0,21.4,68.0,1.0,19.6,7.0,6.0
480,6121.0,4.0,4.0,4.0,252200.0,14.2,72.5,1.0,12.9,21.0,21.0
481,6470.0,3.0,3.0,4.0,314937.0,18.6,61.9,3.0,13.7,72.0,66.0
482,6373.0,3.0,3.0,4.0,248778.0,12.0,55.6,1.0,13.9,37.0,36.0
489,6339.0,3.0,4.0,4.0,256905.0,18.1,60.8,3.0,16.3,62.0,56.0
492,6302.0,5.0,4.0,5.0,320000.0,19.5,73.6,1.0,15.1,149.0,134.0
495,6005.0,3.0,4.0,3.0,343500.0,21.3,72.0,3.0,14.7,119.0,101.0
498,6370.0,4.0,4.0,5.0,331117.0,22.7,53.0,1.0,17.5,41.0,39.0
500,6361.0,5.0,5.0,4.0,296145.0,21.5,70.7,1.0,16.8,115.0,107.0
503,6462.0,4.0,3.0,3.0,290733.0,5.6,73.2,1.0,17.3,12.0,11.0
505,6250.0,3.0,3.0,4.0,293822.0,11.9,61.5,1.0,18.2,34.0,32.0
509,6586.0,4.0,3.0,3.0,338400.0,22.3,57.8,2.0,17.1,122.0,109.0
511,6312.0,2.0,3.0,3.0,261640.0,11.9,61.0,2.0,11.4,4.0,2.0
512,6238.0,3.0,4.0,3.0,298479.0,16.7,77.3,1.0,7.7,27.0,22.0
513,6406.0,3.0,3.0,3.0,260000.0,24.8,63.5,2.0,18.1,104.0,82.0
514,6420.0,3.0,3.0,3.0,293500.0,23.2,47.3,1.0,11.0,69.0,48.0
518,6268.0,5.0,5.0,4.0,355033.0,18.6,75.3,1.0,16.9,71.0,66.0
519,6369.0,3.0,3.0,3.0,260000.0,20.3,68.0,1.0,15.5,16.0,13.0
525,6013.0,3.0,4.0,3.0,286183.0,20.5,45.5,1.0,15.3,21.0,21.0
526,6383.0,5.0,5.0,5.0,261035.0,18.5,71.2,1.0,16.0,84.0,73.0
528,6367.0,5.0,5.0,5.0,332400.0,16.1,91.5,1.0,15.7,429.0,396.0
529,6143.0,3.0,2.0,3.0,265000.0,20.5,58.7,1.0,14.0,30.0,29.0
530,6460.0,3.0,4.0,4.0,267972.0,23.1,49.8,1.0,3.7,129.0,119.0
531,7718.0,3.0,4.0,4.0,313267.0,4.5,75.9,1.0,18.8,4.0,3.0
