,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率,資産合計,自己資本,純利益,ROA,ROE
107,3946.0,4.0,4.0,3.0,249650.0,8.4,44.5,1.0,14.0,0.2941176470588235,120236.0,55624.0,3586.0,2.982467813300509,6.446857471594996
108,5208.0,3.0,3.0,3.0,339431.0,14.0,51.6,1.0,20.0,0.0,50225.0,40867.0,2348.0,4.674962667994027,5.745467002716128
109,4112.0,5.0,5.0,4.0,274270.0,10.0,64.5,1.0,17.1,0.2307692307692307,52337.0,37714.0,1553.0,2.9673080230047577,4.117834226016863
110,4368.0,3.0,3.0,3.0,255063.0,13.6,63.7,1.0,12.9,0.1666666666666666,84011.0,67427.0,10162.0,12.09603504303008,15.071113945452119
111,4901.0,5.0,5.0,5.0,361000.0,12.2,60.2,1.0,19.2,0.0631578947368421,1695782.0,1239984.0,32685.0,1.9274293511783942,2.6359211086594665
112,4403.0,5.0,4.0,4.0,315100.0,13.0,69.3,1.0,18.9,0.0638297872340425,243027.0,175008.0,23256.0,9.569307114024369,13.288535381239717
113,4619.0,4.0,3.0,3.0,274526.0,10.5,54.6,1.0,17.1,0.2692307692307692,55642.0,32373.0,1720.0,3.091190108191654,5.31306953325302
114,4041.0,4.0,4.0,4.0,303252.0,7.5,72.8,1.0,20.0,0.0444444444444444,189216.0,120692.0,7919.0,4.185164045323863,6.561329665595069
115,4114.0,4.0,4.0,4.0,355000.0,15.3,67.2,1.0,16.4,0.0980392156862745,356044.0,260212.0,17609.0,4.945737043736168,6.767174457749834
116,4091.0,4.0,4.0,4.0,301600.0,17.6,60.3,1.0,16.4,0.0714285714285714,977662.0,262466.0,14033.0,1.4353631418629342,5.346597273551621
117,4272.0,4.0,4.0,5.0,342346.0,11.3,65.8,1.0,14.6,0.0714285714285714,236430.0,184800.0,12609.0,5.333079558431671,6.823051948051948
118,4612.0,4.0,5.0,5.0,391050.0,15.8,54.1,1.0,13.4,0.1071428571428571,2037839.0,1513758.0,1778.0,0.08724928711247552,0.11745602665683684
119,4205.0,4.0,5.0,4.0,353500.0,16.2,55.4,1.0,15.8,0.2564102564102564,402682.0,239999.0,28072.0,6.9712577170074645,11.696715402980844
120,4021.0,4.0,5.0,4.0,335700.0,17.7,71.0,1.0,15.7,0.0897435897435897,231022.0,168359.0,34402.0,14.891222480975838,20.433716047256162
121,4620.0,4.0,3.0,3.0,236933.0,13.8,68.0,1.0,16.2,0.0,31175.0,25017.0,1043.0,3.345629510825982,4.169164967821882
122,7917.0,3.0,3.0,3.0,248705.0,26.2,49.0,1.0,16.3,0.2352941176470588,95414.0,66108.0,5350.0,5.607143605760161,8.092817813275246
123,4045.0,4.0,4.0,4.0,345500.0,7.9,89.4,1.0,20.9,0.0508474576271186,228267.0,163244.0,11314.0,4.956476407014593,6.930729460194556
124,4634.0,4.0,5.0,4.0,333353.0,6.2,59.4,1.0,20.7,0.0784313725490196,260784.0,170867.0,5333.0,2.04498742254126,3.1211410044069363
126,4186.0,4.0,5.0,4.0,299165.0,17.0,72.0,1.0,19.9,0.1333333333333333,164548.0,129180.0,16987.0,10.323431460728784,13.14986840068122
127,7971.0,3.0,3.0,3.0,338310.0,17.4,57.1,1.0,16.5,0.28125,66606.0,27607.0,337.0,0.5059604239858271,1.2207048936863838
128,4042.0,4.0,4.0,5.0,354467.0,16.2,79.2,1.0,14.4,0.027906976744186,726798.0,558609.0,95053.0,13.078324376236589,17.01601656972945
129,4461.0,4.0,4.0,4.0,314952.0,12.3,66.1,1.0,15.0,0.0,66340.0,28520.0,1750.0,2.6379258365993365,6.1360448807854135
130,4116.0,4.0,3.0,3.0,317167.0,3.6,60.5,1.0,18.0,0.037037037037037,137171.0,63039.0,4637.0,3.3804521363845126,7.355763892193721
131,4221.0,4.0,4.0,3.0,292332.0,3.2,52.8,1.0,16.1,0.14,85251.0,44372.0,2920.0,3.425179763287234,6.580726584332462
132,4204.0,5.0,5.0,5.0,293612.0,11.2,58.2,1.0,15.2,0.1140939597315436,668738.0,339641.0,55915.0,8.361271529358284,16.462971196057012
133,4028.0,3.0,3.0,3.0,271500.0,5.0,73.6,1.0,19.5,0.0,159036.0,75559.0,6878.0,4.324806961945723,9.102820312603397
134,4063.0,5.0,5.0,5.0,308125.0,13.6,62.4,1.0,20.2,0.064,1299322.0,881113.0,150831.0,11.608438862729948,17.118235686001682
135,4004.0,5.0,5.0,5.0,336644.0,15.7,71.6,1.0,16.3,0.053030303030303,1211549.0,457089.0,30726.0,2.536092225737465,6.722104447930271
136,4967.0,4.0,4.0,4.0,305208.0,12.6,60.1,1.0,12.6,0.0923076923076923,222250.0,170732.0,17036.0,7.665241844769404,9.9782114659232
137,4008.0,3.0,4.0,4.0,294413.0,15.5,76.1,1.0,15.4,0.1724137931034483,80402.0,57493.0,3256.0,4.049650506206313,5.663298140643209
138,4005.0,5.0,5.0,5.0,326400.0,20.7,72.2,1.0,15.5,0.0344827586206896,1740123.0,368789.0,61736.0,3.547795184593273,16.74019561320972
140,4911.0,5.0,5.0,5.0,319737.0,13.3,70.4,1.0,11.1,0.0746268656716417,901402.0,526429.0,103788.0,11.514063647517977,19.71547920042399
142,4188.0,5.0,5.0,5.0,290500.0,21.5,73.5,1.0,18.7,0.0406976744186046,1796949.0,407244.0,56214.0,3.128302472691211,13.803518283878951
143,4182.0,4.0,4.0,5.0,349470.0,12.6,85.4,1.0,17.7,0.0545454545454545,529631.0,323002.0,35812.0,6.761688798427584,11.087237849920434
144,4183.0,4.0,5.0,5.0,320000.0,20.2,69.7,1.0,19.2,0.0566037735849056,1271494.0,387751.0,23919.0,1.8811728564979466,6.168649468344375
145,4078.0,3.0,4.0,4.0,263865.0,9.7,66.7,1.0,15.2,0.0,87587.0,52610.0,4624.0,5.279322273853426,8.789203573465121
146,4968.0,4.0,3.0,3.0,294082.0,15.6,68.3,2.0,17.1,0.0454545454545454,88651.0,50178.0,2232.0,2.517738096580975,4.448164534258042
147,4452.0,5.0,5.0,5.0,300706.0,14.4,69.6,1.0,17.4,0.0463576158940397,1263691.0,787422.0,101644.0,8.043422007436945,12.908453154725166
148,3407.0,5.0,5.0,5.0,337356.0,19.3,75.5,1.0,14.8,0.1074626865671641,2149337.0,771809.0,52484.0,2.4418692834115823,6.800128010945714
149,4912.0,5.0,4.0,5.0,294920.0,9.3,67.6,1.0,17.8,0.0416666666666666,326488.0,206790.0,26956.0,8.256352453995246,13.035446588326321
150,4957.0,3.0,2.0,2.0,302450.0,6.1,72.1,1.0,22.0,0.0,24981.0,19341.0,757.0,3.0303030303030303,3.9139651517501677
151,4917.0,4.0,4.0,4.0,308679.0,8.6,63.9,1.0,16.5,0.0952380952380952,63661.0,54661.0,1344.0,2.1111826707089114,2.4587914600903753
152,4927.0,4.0,5.0,4.0,353000.0,11.9,55.2,1.0,5.0,0.0,185067.0,97848.0,9435.0,5.098153641654104,9.642506745155751
153,7995.0,4.0,4.0,4.0,359434.0,14.4,46.3,1.0,18.0,0.0,43622.0,29212.0,3284.0,7.5283114025033235,11.241955360810625
