東洋経済コード,負債比率,年版
8190,155.23,2017
8194,265.7,2017
8198,57.08,2017
8200,160.54,2017
8202,20.9,2017
8203,303.59,2017
8207,93.94,2017
8209,287.88,2017
8214,37.6,2017
8217,74.84,2017
8218,124.23,2017
8219,49.55,2017
8227,14.81,2017
8230,95.38,2017
8233,176.45,2017
8237,174.8,2017
8242,62.38,2017
8244,378.22,2017
8247,449.88,2017
8252,178.19,2017
8254,607.23,2017
8255,35.01,2017
8260,587.44,2017
8267,106.05,2017
8273,200.96,2017
8276,122.33,2017
8278,139.01,2017
8281,4.34,2017
8282,93.29,2017
8289,115.98,2017
8291,115.41,2017
9262,101.08,2017
9267,0,2017
9271,242.54,2017
9278,0,2017
9279,201.12,2017
9627,151.12,2017
9823,130.14,2017
9828,189.94,2017
9831,101.53,2017
9835,227.84,2017
9842,27.34,2017
9843,6.22,2017
9846,208.33,2017
9850,84.35,2017
9853,21.73,2017
9854,19.61,2017
9856,22.61,2017
9861,59.45,2017
9876,56.35,2017
9878,151.33,2017
9887,63.71,2017
9890,109.37,2017
9900,32.39,2017
9903,335.1,2017
9904,51.81,2017
9927,26.87,2017
9936,41.15,2017
9942,86.73,2017
9946,69.4,2017
9948,29.46,2017
9950,37.58,2017
9956,168.17,2017
9959,129.52,2017
9969,341.22,2017
9973,104.73,2017
9974,106.77,2017
9976,82.33,2017
9978,249.38,2017
9979,73.63,2017
9980,60.22,2017
9983,83.38,2017
9989,54.12,2017
9990,8.16,2017
9993,69.31,2017
9994,88.9,2017
9997,134.15,2017
3113,2.99,2017
5834,0,2017
5842,0,2017
7148,309.42,2017
7162,22.19,2017
7172,249.35,2017
7176,0,2017
7185,958.26,2017
7347,0,2017
8473,75.73,2017
8518,386.51,2017
8595,13.04,2017
8705,36.87,2017
8737,62.78,2017
8739,27.73,2017
8742,5.79,2017
8746,348.41,2017
8747,357.8,2017
5840,0,2017
7170,0,2017
7325,129.3,2017
7343,0,2017
7388,0,2017
8798,49.41,2017
154A,0,2017
2388,3.55,2017
